time_hr,q_solar_kw,t_pcm,pcm_melt,t_boiler,boiler_vol,tds_ppm,total_distilled_L,battery_soc,mineral_ppm,power_source
20.033333333333335,0.0,102.19987315002794,1.0,100.0,7.273766007535556,5502.986122386572,79.10554209503967,88.68724466879415,0.0,BATTERY
20.05,0.0,102.1605897009203,1.0,100.0,7.259165079548645,5514.0547099177065,79.10554209503967,88.68722800212748,0.0,BATTERY
20.066666666666666,0.0,102.1220077419753,1.0,100.0,7.244824882418643,5524.969070555701,79.10554209503967,88.68721133546083,0.0,BATTERY
20.083333333333332,0.0,102.08411474658288,1.0,100.0,7.230740760237391,5535.730670510336,79.10554209503967,88.68719466879415,0.0,BATTERY
20.1,0.0,102.04689841182247,1.0,100.0,7.216908140237948,5546.340984137233,79.11937471503911,88.68717800212748,50.0,BATTERY
20.116666666666667,0.0,102.01034665446849,1.0,100.0,7.203322531309922,5556.801493057173,79.13296032396714,88.68716133546081,50.0,BATTERY
20.133333333333333,0.0,101.97444760706728,1.0,100.0,7.189979522541326,5567.113685298438,79.14630333273574,88.68714466879415,50.0,BATTERY
20.15,0.0,101.93918961408393,1.0,100.0,7.176874781786455,5577.279054462169,79.15940807349061,88.6871280021275,50.0,BATTERY
20.166666666666668,0.0,101.90456122811814,1.0,100.0,7.164004054259349,5587.299098910628,79.17227880101771,88.68711133546083,50.0,BATTERY
20.183333333333334,0.0,101.87055120618746,1.0,100.0,7.1513631611523705,5597.175320978292,79.18491969412469,88.68709466879416,50.0,BATTERY
20.2,0.0,101.83714850607697,1.0,100.0,7.138947998279445,5606.9092262056465,79.19733485699761,88.68707800212748,50.0,BATTERY
20.216666666666665,0.0,101.80434228275416,1.0,100.0,7.126754534743536,5616.502322595537,79.20952832053352,88.68706133546083,50.0,BATTERY
20.233333333333334,0.0,101.77212188484783,1.0,100.0,7.114778811627911,5625.956119891912,79.22150404364915,88.68704466879416,50.0,BATTERY
20.25,0.0,101.74047685118984,1.0,100.0,7.103016940710779,5635.2721288807625,79.23326591456627,88.68702800212749,50.0,BATTERY
20.266666666666666,0.0,101.7093969074186,1.0,100.0,7.091465103202882,5644.451860713075,79.24481775207417,88.68701133546082,50.0,BATTERY
20.283333333333335,0.0,101.67887196264326,1.0,100.0,7.080119548507626,5653.496826249562,79.25616330676942,88.68699466879416,50.0,BATTERY
20.3,0.0,101.64889210616748,1.0,100.0,7.068976593003357,5662.408535426925,79.26730626227369,88.68697800212749,50.0,BATTERY
20.316666666666666,0.0,101.61944760427163,1.0,100.0,7.058032618847378,5671.188496645414,79.27825023642967,88.68696133546082,50.0,BATTERY
20.333333333333332,0.0,101.5905288970525,1.0,100.0,7.047284072801327,5679.838216177408,79.28899878247572,88.68694466879415,50.0,BATTERY
20.35,0.0,101.56212659531941,1.0,100.0,7.0367274650775276,5688.35919759674,79.29955539019952,88.68692800212749,50.0,BATTERY
20.366666666666667,0.0,101.53423147754584,1.0,100.0,7.026359368205939,5696.752941228463,79.3099234870711,88.68691133546082,50.0,BATTERY
20.383333333333333,0.0,101.50683448687538,1.0,100.0,7.0161764159213424,5705.0209436187715,79.3201064393557,88.68689466879415,50.0,BATTERY
20.4,0.0,101.47992672818117,1.0,100.0,7.0061753020704,5713.164697024754,79.33010755320664,88.68687800212749,50.0,BATTERY
20.416666666666668,0.0,101.45349946517794,1.0,100.0,6.996352779538224,5721.185688923659,79.33993007573882,88.68686133546082,50.0,BATTERY
20.433333333333334,0.0,101.42754411758548,1.0,100.0,6.986705659194123,5729.085401541345,79.34957719608292,88.68684466879415,50.0,BATTERY
20.45,0.0,101.40205225834289,1.0,100.0,6.9772308088561665,5736.865311399576,79.35905204642087,88.68682800212748,50.0,BATTERY
20.466666666666665,0.0,101.37701561087248,1.0,100.0,6.967925152274245,5744.52688888182,79.36835770300279,88.68681133546083,50.0,BATTERY
20.483333333333334,0.0,101.35242604639261,1.0,100.0,6.958785668131286,5752.071597817198,79.37749718714575,88.68679466879415,50.0,BATTERY
20.5,0.0,101.32827558127846,1.0,100.0,6.949809389062309,5759.500895082244,79.38647346621472,88.68677800212748,50.0,BATTERY
20.516666666666666,0.0,101.30455637446991,1.0,100.0,6.940993400690991,5766.816230220091,79.39528945458603,88.68676133546082,50.0,BATTERY
20.533333333333335,0.0,101.2812607249258,1.0,100.0,6.932334840683447,5774.019045076754,79.40394801459358,88.68674466879416,50.0,BATTERY
20.55,0.0,101.25838106912356,1.0,100.0,6.923830897818895,5781.110773454123,79.41245195745813,88.6867280021275,50.0,BATTERY
20.566666666666666,0.0,101.2359099786035,1.0,100.0,6.915478811076925,5788.092840779308,79.4208040442001,88.68671133546083,50.0,BATTERY
20.583333333333332,0.0,101.21384015755702,1.0,100.0,6.907275868741061,5794.96666378997,79.42900698653597,88.68669466879415,50.0,BATTERY
20.6,0.0,101.19216444045779,1.0,100.0,6.899219407518337,5801.7336502352655,79.43706344775869,88.68667800212748,50.0,BATTERY
20.616666666666667,0.0,101.17087578973533,1.0,100.0,6.891306811674591,5808.395198592045,79.44497604360244,88.68666133546083,50.0,BATTERY
20.633333333333333,0.0,101.14996729349006,1.0,100.0,6.883535512185197,5814.952697795923,79.45274734309183,88.68664466879416,50.0,BATTERY
20.65,0.0,101.12943216324918,1.0,100.0,6.875902985900971,5821.407526986862,79.46037986937606,88.68662800212749,50.0,BATTERY
20.666666666666668,0.0,101.10926373176258,1.0,100.0,6.868406754728963,5827.761055268907,79.46787610054807,88.68661133546082,50.0,BATTERY
20.683333333333334,0.0,101.08945545083824,1.0,100.0,6.861044384827884,5834.014641483693,79.47523847044914,88.68659466879414,50.0,BATTERY
20.7,0.0,101.07000088921613,1.0,100.0,6.853813485817896,5840.169633997371,79.48246936945912,88.68657800212749,50.0,BATTERY
20.716666666666665,0.0,101.05089373048013,1.0,100.0,6.846711710004515,5846.227370500598,79.4895711452725,88.68656133546082,50.0,BATTERY
